Jahr;GEMEINDE_BFS_NR;GEMEINDE;Bezirk NR;BEZIRK;REGION_CODE;REGION;ANZAHL_PERSONEN_TOTAL
01.01.2012;71;Wil;3;Bülach;111;Zürcher Unterland;1298
01.01.2010;38;Rheinau;2;Andelfingen;110;Weinland;1300
01.01.2016;38;Rheinau;2;Andelfingen;110;Weinland;1301
01.01.2013;82;Boppelsen;4;Dielsdorf;103;Furttal;1304
01.01.2012;119;Seegräben;5;Dietikon;108;Zürcher Oberland;1307
01.01.2014;38;Rheinau;2;Andelfingen;110;Weinland;1312
01.01.2013;71;Wil;3;Bülach;111;Zürcher Unterland;1312
01.01.2019;38;Rheinau;2;Andelfingen;110;Weinland;1315
01.01.2011;38;Rheinau;2;Andelfingen;110;Weinland;1316
01.01.2015;38;Rheinau;2;Andelfingen;110;Weinland;1316
01.01.2015;82;Boppelsen;4;Dielsdorf;103;Furttal;1317
01.01.2016;82;Boppelsen;4;Dielsdorf;103;Furttal;1318
01.01.2013;38;Rheinau;2;Andelfingen;110;Weinland;1321
01.01.2018;38;Rheinau;2;Andelfingen;110;Weinland;1323
01.01.2012;28;Flaach;2;Andelfingen;110;Weinland;1330
01.01.2013;119;Seegräben;5;Dietikon;108;Zürcher Oberland;1332
01.01.2017;241;Aesch;11;Winterthur;104;Limmattal;1341
01.01.2010;37;Ossingen;2;Andelfingen;110;Weinland;1341
01.01.2012;38;Rheinau;2;Andelfingen;110;Weinland;1346
01.01.2012;37;Ossingen;2;Andelfingen;110;Weinland;1348
01.01.2011;37;Ossingen;2;Andelfingen;110;Weinland;1350
01.01.2013;28;Flaach;2;Andelfingen;110;Weinland;1351
01.01.2014;71;Wil;3;Bülach;111;Zürcher Unterland;1351
01.01.2010;99;Schöfflisdorf;4;Dielsdorf;111;Zürcher Unterland;1353
01.01.2016;28;Flaach;2;Andelfingen;110;Weinland;1354
01.01.2011;99;Schöfflisdorf;4;Dielsdorf;111;Zürcher Unterland;1356
01.01.2015;28;Flaach;2;Andelfingen;110;Weinland;1357
01.01.2013;37;Ossingen;2;Andelfingen;110;Weinland;1358
01.01.2014;28;Flaach;2;Andelfingen;110;Weinland;1361
01.01.2013;99;Schöfflisdorf;4;Dielsdorf;111;Zürcher Unterland;1362
01.01.2016;71;Wil;3;Bülach;111;Zürcher Unterland;1364
01.01.2017;82;Boppelsen;4;Dielsdorf;103;Furttal;1365
01.01.2018;82;Boppelsen;4;Dielsdorf;103;Furttal;1372
01.01.2012;99;Schöfflisdorf;4;Dielsdorf;111;Zürcher Unterland;1373
01.01.2017;28;Flaach;2;Andelfingen;110;Weinland;1375
01.01.2015;71;Wil;3;Bülach;111;Zürcher Unterland;1375
01.01.2018;99;Schöfflisdorf;4;Dielsdorf;111;Zürcher Unterland;1377
